Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1988	2	529,9	56,3	159	127,8	20,4	81,9	37	51,6	80,6
1988	3	339,2	142,3	562,3	325,7	271,9	156,2	111,4	84,9	330,6
1988	4	423,4	298,3	287,2	263,3	284,2	589,9	214,2	366,3	272
1988	5	406,4	54,6	305,9	375	229,1	211,4	165,8	224,2	185,7
1988	6	190,1	23	265,4	398	297	304,4	298,6	210,6	236,6
1988	7	313,5	3,4	68,4	342,3	380,7	657,3	704,2	305,5	295,8
1988	8	81,5	2	3,6	128,2	170,8	202,7	150,8	75,8	135,3
1988	9	0	11,2	24,3	73,3	41,3	78,2	89,8	74,4	50,6
1988	10	3	37,5	15	3,7	11,9	27,9	35,2	60	77,3
1988	11	3,2	69,6	42,8	20,5	30,4	54	53	109,6	138,2
1988	12	145,7	287	173,1	75,6	46,2	59,5	141	55,3	174,4
1989	1	205,9	85,4	175,8	38,9	22,7	174,8	112,2	42,2	190,3
1989	2	228,5	143,7	58,1	35,1	11,3	36,9	6,4	0,4	28,6
1989	3	280,8	309,5	286,9	75,9	68,2	83,9	161	142,3	153,9
1989	4	562,7	387,1	309,9	341,2	694,3	462,7	522,3	316,1	412,7
1989	5	389,1	177	206,8	138	311,4	418,1	517,9	491,4	662,7
1989	6	322,4	30,7	337,7	233,4	374,4	418,4	321,4	144,6	265,8
1989	7	235,9	30,3	194,9	239,6	306,3	538,7	620,8	248,8	183,3
1989	8	60,7	0,8	69,7	121,9	159,8	323,8	192,6	151,1	192
1989	9	33,3	1	64,8	50,5	51,7	39,7	100,6	101,6	249,3
1989	10	29,3	32,8	31,5	27,4	14,3	66,1	96,8	156,8	125,4
1989	11	90,2	130,1	79	26,1	58,8	85,3	53,2	11,1	149,3
1989	12	335,2	398,3	112,8	104	198,5	201,2	125,2	132,9	446,7
1990	1	109,2	104,2	62,7	42,7	42,8	78,2	47,4	64,5	51,1
1990	2	501,5	129,1	144,8	43	140,6	57,1	3,8	7,5	34
1990	3	198,3	125,3	140,1	63,1	18,9	26,8	16,4	55,4	70,6
1990	4	285,9	134,1	215,4	141,4	399,1	390,4	255	172,2	52
1990	5	146,6	66,9	225,7	95,4	278,7	274,7	153,7	109,7	326,1
1990	6	154,3	40,9	68,3	275,7	329,1	452,6	180,6	115,5	211,7
